index,Home_Away_BIN,PERIOD,GAME_CLOCK,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,Player_3_PTS_ACC,AVG_DEF_STL,AVG _DEF_BLK,SHOT_CLOCK,T,Y
66,0,2,460,0,25.8,6.8,0.282,0.49382716,0.703703704,10.6,0,1
67,0,1,623,0,25.1,5.5,0.415,0.49382716,0.703703704,11,0,0
68,0,4,129,0,22.5,6.3,0.364,0.49382716,0.703703704,11.1,0,1
69,0,3,446,1,24.5,6.8,0.382,0.49382716,0.703703704,11.4,0,0
70,0,3,651,0,28.2,6.1,0.409,0.49382716,0.703703704,11.9,0,0
71,0,2,298,0,23.7,11.5,0.395,0.49382716,0.703703704,11.9,0,1
72,1,2,318,4,23.6,5.2,0.349,0.49382716,0.703703704,11.9,0,0
73,0,2,298,0,22.7,7.5,0.395,0.49382716,0.703703704,12,0,0
74,0,1,675,0,24.9,6.1,0.341,0.49382716,0.703703704,12.1,0,0
75,0,3,187,8,24.4,5.9,0.37,0.49382716,0.703703704,13.3,0,1
76,1,3,477,0,22.7,8.7,0.361,0.49382716,0.703703704,13.6,0,1
77,0,1,448,0,23.3,8.2,0.401,0.49382716,0.703703704,13.7,0,1
78,1,3,310,0,25.3,5.7,0.376,0.49382716,0.703703704,13.8,0,0
79,0,1,654,0,24.4,4.9,0.362,0.49382716,0.703703704,14.1,0,1
80,1,1,339,0,24.8,5.5,0.376,0.49382716,0.703703704,14.2,0,0
81,1,1,291,8,23.5,6.4,0.4,0.49382716,0.703703704,14.2,0,1
82,0,3,407,0,24.8,8.7,0.341,0.49382716,0.703703704,14.6,0,0
83,0,2,189,0,24.2,5.6,0.333,0.49382716,0.703703704,14.8,0,0
84,1,3,665,0,25.6,8.3,0.347,0.49382716,0.703703704,15.6,0,0
85,0,1,520,0,24.2,11.7,0.33,0.49382716,0.703703704,9.2,0,0
86,0,4,309,0,22.7,5,0.325,0.49382716,0.703703704,16.9,0,0
87,0,2,18,0,24.9,17.8,0.347,0.49382716,0.703703704,17.1,0,1
88,0,3,507,0,26,9.6,0.269,0.49382716,0.703703704,17.1,0,0
89,0,3,509,0,22.5,8.4,0.347,0.49382716,0.703703704,17.4,0,1
90,1,1,643,0,26.4,6.7,0.393,0.49382716,0.703703704,17.7,0,1
91,0,1,585,0,22.4,9.9,0.382,0.49382716,0.703703704,17.8,0,1
92,0,3,572,4,24.5,7.6,0.424,0.49382716,0.703703704,17.9,0,0
93,1,3,86,0,21.9,5.3,0.427,0.49382716,0.703703704,18,0,1
94,0,3,348,0,24.4,10,0.393,0.49382716,0.703703704,18.2,1,1
95,1,4,155,0,23,8.3,0.382,0.49382716,0.703703704,18.4,1,0
96,0,4,161,0,24.7,9.1,0.373,0.49382716,0.703703704,19.5,1,1
97,0,3,625,2,22.9,6.3,0.417,0.49382716,0.703703704,19.6,1,0
98,0,3,132,0,22.7,5.1,0.37,0.49382716,0.703703704,19.7,1,0
99,0,1,350,0,23.5,9.5,0.395,0.49382716,0.703703704,19.9,1,0
100,1,3,247,0,23.9,10.6,0.419,0.49382716,0.703703704,20,1,1
101,0,1,547,0,24.8,7.3,0.32,0.49382716,0.703703704,21.4,1,1
102,0,2,621,1,24.4,5.8,0.351,0.452830189,0.679245283,5.7,0,0
103,0,2,53,0,24.6,8.8,0.424,0.452830189,0.679245283,11.8,0,0
104,1,2,18,0,21.3,6.5,0.393,0.452830189,0.679245283,18.1,1,0
105,1,4,107,0,28.8,11.2,0.373,0.479452055,0.04109589,1,0,0
106,0,4,590,1,28.6,2.1,0.342,0.479452055,0.04109589,1.3,0,0
107,0,1,9,0,24.4,5.5,0.307,0.479452055,0.04109589,1.3,0,0
108,0,3,5,17,24.4,4.3,0.342,0.479452055,0.04109589,2,0,0
109,1,4,119,3,24.5,4.6,0.307,0.479452055,0.04109589,2,0,0
110,0,4,336,0,22.8,4.3,0.379,0.479452055,0.04109589,2,0,0
111,0,1,342,0,25.3,4.6,0.393,0.479452055,0.04109589,2.1,0,0
112,1,2,413,0,25.5,5.1,0.424,0.479452055,0.04109589,2.3,0,1
113,0,3,496,0,23.9,9.5,0.452,0.479452055,0.04109589,11.3,0,0
114,1,4,213,1,22.5,1.2,0.395,0.479452055,0.04109589,3.2,0,1
115,0,3,436,4,24.9,3,0.424,0.479452055,0.04109589,3.7,0,0
116,1,1,38,23,25.5,4.4,0.307,0.479452055,0.04109589,3.8,0,0
117,1,1,368,0,23.7,6.5,0.371,0.479452055,0.04109589,3.8,0,0
118,1,4,140,18,26.3,4.1,0.342,0.479452055,0.04109589,4.1,0,0
119,1,4,575,0,24.5,4.3,0.393,0.479452055,0.04109589,9.6,0,0
120,1,1,306,0,20.5,4.7,0.393,0.479452055,0.04109589,10.3,0,0
121,1,4,264,0,22.5,1.9,0.407,0.479452055,0.04109589,4.7,0,0
122,1,1,29,0,31.3,3.5,0.394,0.479452055,0.04109589,4.8,0,0
123,1,1,501,1,24.4,4.7,0.356,0.479452055,0.04109589,4.8,0,0
124,1,1,234,0,22.9,6.6,0.419,0.479452055,0.04109589,5,0,0
125,1,2,331,0,24.4,7.1,0.379,0.479452055,0.04109589,5.1,0,1
126,0,2,591,0,25.4,5.5,0.347,0.479452055,0.04109589,5.5,0,0
127,1,4,285,0,24.8,7.6,0.379,0.479452055,0.04109589,5.7,0,0
128,0,2,522,0,25,5.7,0.264,0.479452055,0.04109589,6,0,0
129,1,3,101,3,28.2,3.8,0.394,0.479452055,0.04109589,6.3,0,0
130,1,3,32,0,19.8,2.1,0.37,0.479452055,0.04109589,6.4,0,0
131,1,2,265,0,25.7,5.3,0.415,0.479452055,0.04109589,6.6,0,0
132,1,1,291,0,22.8,6.7,0.43,0.479452055,0.04109589,6.7,0,1
133,0,2,319,0,25,5.8,0.393,0.479452055,0.04109589,6.7,0,0
134,1,3,670,0,22.1,6.9,0.32,0.479452055,0.04109589,7,0,0
135,1,3,229,0,27.7,4.6,0.339,0.479452055,0.04109589,7.1,0,0
136,0,4,335,0,23.4,4.9,0.362,0.479452055,0.04109589,7.2,0,0
137,0,4,397,0,23,5.6,0.376,0.479452055,0.04109589,7.7,0,0
138,0,4,195,0,26.6,4.6,0.472,0.479452055,0.04109589,8,0,1
139,1,1,260,0,25.6,7.9,0.154,0.479452055,0.04109589,8.2,0,0
140,0,1,420,0,22.5,3.2,0.472,0.479452055,0.04109589,8.5,0,1
141,0,3,688,0,22.8,7.8,0.341,0.479452055,0.04109589,8.8,0,0
142,0,2,187,0,23.9,7.3,0.4,0.479452055,0.04109589,8.8,0,0
143,1,2,33,4,27.2,4.7,0.356,0.479452055,0.04109589,8.8,0,0
144,1,2,44,0,24.2,5.6,0.369,0.479452055,0.04109589,9,0,1
145,1,4,23,0,24.9,4.2,0.342,0.479452055,0.04109589,9,0,1
146,1,3,264,0,21.1,1.5,0.382,0.479452055,0.04109589,9.2,0,1
147,1,1,350,0,22.8,4.7,0.408,0.479452055,0.04109589,15.3,0,0
148,0,3,674,0,24.7,5.4,0.408,0.479452055,0.04109589,15.3,0,1
149,0,2,383,7,25.3,3.5,0.32,0.479452055,0.04109589,9.7,0,0
150,1,4,258,0,22.3,9,0.154,0.479452055,0.04109589,9.7,0,0
151,0,4,193,0,24.9,3.7,0.361,0.479452055,0.04109589,10.1,0,1
152,0,1,634,0,22.7,2.9,0.369,0.479452055,0.04109589,10.3,0,0
153,0,1,411,0,24.2,6.5,0.371,0.479452055,0.04109589,10.3,0,0
154,1,1,329,0,24.5,5.7,0.394,0.479452055,0.04109589,11.1,0,0
155,0,1,390,0,24.5,4.2,0.366,0.479452055,0.04109589,11.2,0,1
156,0,3,531,0,24.5,5.4,0.395,0.479452055,0.04109589,9.1,0,0
157,1,4,180,0,22.4,4.6,0.254,0.479452055,0.04109589,11.8,0,1
158,1,1,447,0,22.3,6.7,0.415,0.479452055,0.04109589,11.8,0,1
159,0,2,270,0,21.7,6.1,0.395,0.479452055,0.04109589,12.6,0,0
160,0,3,453,0,22.4,5.8,0.395,0.479452055,0.04109589,12.6,0,0
161,0,3,114,0,24.4,3.1,0.395,0.479452055,0.04109589,13,0,0
162,0,2,71,2,24.5,5.5,0.4,0.479452055,0.04109589,11.9,0,0
163,0,2,470,0,25.8,3.9,0.395,0.479452055,0.04109589,13.9,0,0
164,1,1,395,0,23.2,4.6,0.395,0.479452055,0.04109589,14.3,0,0
165,0,2,620,0,22.7,5.5,0.395,0.479452055,0.04109589,15.2,0,0
166,1,4,221,0,25.4,3.7,0.382,0.479452055,0.04109589,12,0,0
167,1,4,395,0,22.2,8.8,0.407,0.479452055,0.04109589,12,0,0
168,1,1,579,0,23.8,3,0.395,0.479452055,0.04109589,16.9,0,0
169,1,3,599,0,24.1,4.3,0.361,0.479452055,0.04109589,12,0,0
170,1,1,564,0,22.3,7.7,0.395,0.479452055,0.04109589,17.2,0,0
171,0,3,181,0,22.9,6.4,0.263,0.479452055,0.04109589,12.1,0,0
172,1,3,192,0,23.5,7.3,0.395,0.479452055,0.04109589,18.2,1,1
173,0,3,674,1,24.2,5,0.366,0.479452055,0.04109589,12.4,0,1
174,0,3,557,2,25.1,3.1,0.424,0.479452055,0.04109589,13,0,0
175,0,2,542,2,24.8,3.9,0.342,0.479452055,0.04109589,13,0,1
176,0,3,618,0,25.1,5.9,0.308,0.479452055,0.04109589,13,0,0
177,1,4,277,0,21.3,3.6,0.307,0.479452055,0.04109589,13.4,0,0
178,1,3,277,0,25.5,2.5,0.4,0.479452055,0.04109589,13.4,0,0
179,1,3,63,0,24.7,5.3,0.283,0.479452055,0.04109589,13.4,0,0
180,0,1,232,0,22.6,6.7,0.402,0.479452055,0.04109589,13.7,0,1
181,0,3,254,0,24.7,6.6,0.472,0.479452055,0.04109589,13.9,0,0
182,1,3,351,0,25.2,2.6,0.4,0.479452055,0.04109589,14,0,0
183,1,2,209,3,22.6,3.8,0.319,0.479452055,0.04109589,14,0,0
184,0,3,268,0,25.3,4.2,0.4,0.479452055,0.04109589,14.1,0,1
185,0,4,243,0,24.5,6.1,0.34,0.479452055,0.04109589,14.1,0,1
186,1,2,225,5,24.8,4.1,0.38,0.479452055,0.04109589,14.2,0,0
187,0,2,29,0,25.5,3.7,0.342,0.479452055,0.04109589,14.3,0,0
188,1,1,346,0,24.2,7.3,0.321,0.479452055,0.04109589,14.4,0,0
189,1,4,591,0,25.1,2.9,0.415,0.479452055,0.04109589,14.4,0,0
190,1,3,623,0,25.1,6.2,0.393,0.479452055,0.04109589,14.5,0,0
191,1,4,368,0,22.3,3.3,0.407,0.479452055,0.04109589,14.6,0,1
192,1,2,163,0,26.6,4.5,0.349,0.479452055,0.04109589,13.2,0,0
193,1,2,119,0,23.1,5.4,0.319,0.479452055,0.04109589,15.3,0,0
194,1,4,252,0,25.3,4.3,0.393,0.479452055,0.04109589,16,0,1
195,0,1,32,0,24.4,4.7,0.273,0.479452055,0.04109589,16,0,0
196,1,3,233,6,26.8,2.1,0.394,0.479452055,0.04109589,16.1,0,1
197,0,1,647,0,25.5,3.3,0.472,0.479452055,0.04109589,16.2,0,0
198,1,1,214,0,23.2,5.1,0.459,0.479452055,0.04109589,16.2,0,0
199,1,1,356,2,25.4,4.2,0.366,0.479452055,0.04109589,16.2,0,0
200,1,2,363,0,26,3.2,0.342,0.479452055,0.04109589,16.4,0,0
201,0,3,605,0,25.4,5.6,0.407,0.479452055,0.04109589,16.5,0,1
202,1,2,155,0,24.1,6.7,0.33,0.479452055,0.04109589,16,0,0
203,0,3,242,2,24.3,4.2,0.4,0.479452055,0.04109589,16.8,0,0
204,1,1,480,0,24.7,5.8,0.33,0.479452055,0.04109589,17.5,0,0
205,0,1,267,0,22.9,6.1,0.32,0.479452055,0.04109589,16.9,0,0
206,0,3,88,0,24.2,5.7,0.339,0.479452055,0.04109589,16.9,0,0
207,0,3,338,0,26.6,7,0.472,0.479452055,0.04109589,17.1,0,0
208,1,4,28,6,27.1,4.9,0.339,0.479452055,0.04109589,17.3,0,0
209,0,1,551,0,24.2,18.7,0.37,0.479452055,0.04109589,17.5,0,1
210,1,2,559,0,25.1,6.6,0.424,0.479452055,0.04109589,17.6,0,0
211,0,1,259,0,23.6,5.1,0.402,0.479452055,0.04109589,17.8,0,1
212,0,2,181,0,24.8,4.3,0.342,0.479452055,0.04109589,17.8,0,0
213,0,4,245,0,24.6,3.6,0.357,0.479452055,0.04109589,17.8,0,0
214,1,1,668,0,22.2,6,0.32,0.479452055,0.04109589,17.8,0,0
215,0,4,665,5,25.8,5.2,0.342,0.479452055,0.04109589,18,0,0
216,0,3,116,0,24.5,4.2,0.361,0.479452055,0.04109589,18,0,0
217,1,2,585,0,24.7,5.4,0.35,0.479452055,0.04109589,18.3,1,0
218,0,3,482,7,26.2,5.5,0.417,0.479452055,0.04109589,18.4,1,1
219,0,1,612,0,24.3,15.6,0.347,0.479452055,0.04109589,18.5,1,0
220,0,3,419,0,25.4,6.5,0.364,0.479452055,0.04109589,18.8,1,0
221,0,4,410,1,24.1,4.9,0.34,0.479452055,0.04109589,18.8,1,0
222,0,1,381,0,25.2,4.6,0.376,0.479452055,0.04109589,18.9,1,1
223,1,1,172,0,25.4,4.9,0.415,0.479452055,0.04109589,19,1,0
224,0,3,362,0,25.9,6.7,0.358,0.479452055,0.04109589,19.1,1,1
225,0,1,169,0,23.6,4.5,0.361,0.479452055,0.04109589,19.1,1,0
226,0,3,574,0,25.4,5.6,0.402,0.479452055,0.04109589,19.2,1,1
227,0,3,212,0,26.2,3.4,0.407,0.479452055,0.04109589,19.2,1,0
228,0,1,666,0,23.8,6.4,0.393,0.479452055,0.04109589,20.1,1,0
229,0,3,76,0,21.1,2,0.363,0.479452055,0.04109589,8.4,0,0
230,1,3,22,0,25,5,0.415,0.479452055,0.04109589,20.6,1,1
